ID,Recap,Trap,SVL,VTL,Regen,Weight,Sex,Year,projected_SVL,Toes
242,True,['B2'],70,40,0.0,6.56,F,2020,100,[]
243,True,['B3'],73,69,4.0,8.46,F,2019,100,[]
244,False,['R94'],56,72,0.0,4.35,nan,2019,100,[]
245,False,['R25'],53,14,0.0,2.61,F,2019,100,[]
246,False,['PR5'],67,73,16.0,6.33,F,2019,100,[]
247,True,"['PR12', 'W1', '']",65,70,6.0,4.22,nan,2020,100,"['LR1', 'LR4']"
248,False,['W5'],64,74,3.0,5.55,F,2019,100,[]
249,False,['R18'],38,49,0.0,1.04,N,2019,58,[]
250,True,['B4'],65,59,5.0,6.72,F,2020,100,"['RF1', 'RF2', 'RF3', 'RF4', 'LR3']"
251,False,['B3'],63,70,3.0,5.24,F,2019,100,[]
252,True,['R93'],76,62,15.0,7.92,M,2020,100,"['LF2', 'LF3', 'LF4', 'RF2', 'RF3', 'RF4', 'RF5', 'LR2', 'LR3', 'LR4', 'LR5', 'RR1', 'RR2', 'RR3', 'RR4', 'RR5']"
253,False,['R35'],41,51,0.0,1.3,N,2019,61,[]
254,False,"['PR65', '(63?)']",42,47,1.0,1.57,N,2019,62,[]
255,False,['R14'],37,49,0.0,1.02,N,2019,57,[]
256,True,"['R18', 'R31']",67,70,0.0,4.13,M,2020,100,"['LR3', 'LR4']"
257,False,['B1'],36,50,0.0,0.92,N,2019,56,[]
258,False,['B3'],75,47,0.0,11.37,M,2019,100,[]
259,False,['B2'],64,68,5.0,6.17,M,2019,100,['LR1']
260,True,"['W14', 'W13', 'PR17']",78,80,0.0,10.81,F,2020,100,['RR5']
261,True,['W19'],72,72,12.0,9.08,F,2020,100,[]
262,True,"['W9', 'W12', 'W16']",75,58,32.0,9.7,F,2020,100,[]
263,False,"['W26', 'W2']",64,35,18.0,5.21,M,2019,100,[]
264,True,"['R97', 'R96']",71,27,0.1,8.13,F,2020,100,[]
265,False,['W23'],58,73,2.0,4.46,M,2019,100,[]
266,True,['R15'],77,58,15.0,10.49,F,2020,100,"['RR1', 'RR2', 'RR3', 'RR4', 'RR5']"
